House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
10,Buckley Crescent,Louis,Palmer,37,Lodger,Divorced,Male,"Conservation officer, nature",None,Christian
11,Buckley Crescent,Bethan,Robson,46,Head,Single,Female,Unemployed,None,No Religion
11,Buckley Crescent,Graeme,Robson,19,Son,Divorced,Male,University Student,None,No Religion
11,Buckley Crescent,Martin,Robson,17,Son,NA,Male,Student,None,NA
11,Buckley Crescent,Peter,Robson,17,Son,NA,Male,Student,None,NA
12,Buckley Crescent,Patricia,Gregory,52,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
13,Buckley Crescent,Charlene,Baker,37,Head,Single,Female,Paediatric nurse,None,No Religion
13,Buckley Crescent,Norman,Griffin,44,Partner,Single,Male,Electronics engineer,None,No Religion
14,Buckley Crescent,Daniel,Edwards,72,Head,Single,Male,Retired Medical illustrator,None,Christian
15,Buckley Crescent,Sian,Smith,66,Head,Married,Female,"Merchandiser, retail",None,Christian
15,Buckley Crescent,Christopher,Smith,65,Husband,Married,Male,Unemployed,None,Christian
16,Buckley Crescent,Alice,Coleman,33,Head,Single,Female,Furniture conservator/restorer,None,Christian
16,Buckley Crescent,Patrick,Sharpe,39,Partner,Single,Male,Dealer,None,Christian
16,Buckley Crescent,Emily,Coleman,11,Daughter,NA,Female,Student,None,No Religion
16,Buckley Crescent,Terence,Coleman,5,Son,Married,Male,Student,None,No Religion
16,Buckley Crescent,Anthony,Coleman,4,Son,NA,Male,Child,None,
17,Buckley Crescent,Jasmine,Mason,64,Head,Divorced,Female,Cabin crew,None,No Religion
17,Buckley Crescent,Lucy,Mason,21,Daughter,Divorced,Female,University Student,None,No Religion
17,Buckley Crescent,Chelsea,Price,13,Daughter,NA,Female,Student,None,NA
18,Buckley Crescent,Ryan,Lewis,43,Head,Married,Male,Broadcast journalist,None,No Religion
18,Buckley Crescent,Lorraine,Lewis,38,Wife,Married,Female,Hospital doctor,None,No Religion
18,Buckley Crescent,Mark,Johnson,30,Lodger,Single,Male,Museum education officer,None,No Religion
18,Buckley Crescent,Glen,Brown,64,Sibling,Divorced,Male,Media planner,None,No Religion
19,Buckley Crescent,Simon,Brown,39,Head,Divorced,Male,"Conservator, museum/gallery",None,No Religion
19,Buckley Crescent,Adrian,Brown,1,Son,NA,Male,Child,None,NA
19,Buckley Crescent,Nigel,Brown,1,Son,NA,Male,Child,Disabled,NA
20,Buckley Crescent,James,John,32,Head,Married,Male,"Development worker, community",None,Sikh
20,Buckley Crescent,Marian,John,31,Wife,Married,Female,"Engineer, drilling",None,No Religion
20,Buckley Crescent,Louis,Daly,24,Sibling,Single,Male,Exercise physiologist,None,Christian
20,Buckley Crescent,Sophie,Powell,31,Lodger,Single,Female,Chiropractor,None,Christian
21,Buckley Crescent,Kathryn,Wilson,36,Head,Married,Female,Retail manager,None,No Religion
21,Buckley Crescent,Alexander,Wilson,35,Husband,Married,Male,"Journalist, magazine",None,No Religion
21,Buckley Crescent,Stewart,Wilson,12,Son,NA,Male,Student,None,No Religion
21,Buckley Crescent,Dale,Wilson,9,Son,NA,Male,Student,None,No Religion
21,Buckley Crescent,Jonathan,Wilson,7,Son,NA,Male,Student,None,No Religion
22,Buckley Crescent,Mary,Gordon,35,Head,Married,Female,"Producer, television/film/video",None,No Religion
22,Buckley Crescent,Carl,Gordon,40,Husband,Married,Male,Geochemist,None,No Religion
22,Buckley Crescent,Mathew,Gordon,11,Son,NA,Male,Student,None,No Religion
22,Buckley Crescent,Antony,Gordon,8,Son,NA,Male,Student,None,No Religion
22,Buckley Crescent,Roger,Gordon,5,Son,NA,Male,Student,None,No Religion
23,Buckley Crescent,Linda,Rose,41,Head,Married,Female,Equities trader,None,Christian
23,Buckley Crescent,Sam,Rose,44,Husband,Married,Male,IT sales professional,None,No Religion
23,Buckley Crescent,Wendy,Wallace,1,Daughter,NA,Female,Child,None,Christian
24,Buckley Crescent,Emily,Walters,52,Head,Married,Female,Environmental consultant,None,Christian
24,Buckley Crescent,Colin,Walters,53,Husband,Married,Male,Agricultural consultant,None,Christian
24,Buckley Crescent,Callum,Walters,17,Son,NA,Male,Student,None,No Religion
25,Buckley Crescent,Caroline,Williams,50,Head,Divorced,Female,Multimedia specialist,None,No Religion
25,Buckley Crescent,Karl,Williams,27,Son,Single,Male,"Secretary, company",None,No Religion
25,Buckley Crescent,Joyce,Williams,23,Daughter,Single,Female,Medical illustrator,None,No Religion
26,Buckley Crescent,Rita,Carter,84,Head,Divorced,Female,Retired Toxicologist,None,No Religion
27,Buckley Crescent,Catherine,Payne,59,Head,Divorced,Female,Unemployed,None,No Religion
27,Buckley Crescent,Elliot,Wood,47,None,Single,Male,Learning disability nurse,None,Christian
28,Buckley Crescent,Ryan,Walker,46,Head,Single,Male,Fisheries officer,None,Christian
28,Buckley Crescent,Dawn,Grant-Walker,27,Daughter,Single,Female,"Accountant, chartered management",None,Christian
28,Buckley Crescent,Sara,Grant-Walker,27,Daughter,Divorced,Female,"Surveyor, hydrographic",None,Christian
1,Iron Road,Rita,Clark,53,Head,Single,Female,Police officer,None,Christian
1,Iron Road,Russell,Charlton,55,Partner,Single,Male,Osteopath,None,Christian
2,Iron Road,Lynda,White,53,Head,Married,Female,Quantity surveyor,None,No Religion
2,Iron Road,Antony,White,58,Husband,Married,Male,Quantity surveyor,None,
2,Iron Road,Dominic,White,29,Son,Single,Male,Forensic scientist,Disabled,No Religion
2,Iron Road,Victoria,White,28,Daughter,Single,Female,"Scientist, marine",None,No Religion
3,Iron Road,Lydia,Burrows,72,Head,Married,Female,"Retired Buyer, industrial",None,Christian
3,Iron Road,Geoffrey,Burrows,78,Husband,Married,Male,"Retired Teacher, secondary school",None,Christian
4,Iron Road,Eleanor,Taylor,59,Head,Widowed,Female,"Editor, magazine features",None,No Religion
5,Iron Road,Bethany,Morris,84,Head,Widowed,Female,Retired Art therapist,None,No Religion
6,Iron Road,Karen,Douglas,57,Head,Single,Female,Research scientist (physical sciences),None,No Religion
6,Iron Road,Clare,Sheppard,26,None,Single,Female,Clinical psychologist,None,No Religion
7,Iron Road,Julian,James,24,Head,Single,Male,Careers information officer,None,No Religion
8,Iron Road,Joel,Coleman,21,Head,Single,Male,University Student,None,Christian
8,Iron Road,Natalie,Perry,29,None,Single,Female,PhD Student,None,No Religion
9,Iron Road,Kevin,James,47,Head,Single,Male,"Administrator, Civil Service",None,Christian
10,Iron Road,Bethany,Green,49,Head,Single,Female,"Research officer, political party",None,No Religion
10,Iron Road,Karen,Marsh-Green,19,Daughter,Single,Female,University Student,None,No Religion
11,Iron Road,Kevin,Thorpe,75,Head,Married,Male,"Retired Doctor, general practice",None,Christian
11,Iron Road,Donna,Thorpe,70,Wife,Married,Female,Retired Financial manager,None,Christian
12,Iron Road,Catherine,Hughes,55,Head,Widowed,Female,Chief of Staff,None,Christian
12,Iron Road,Justin,Hughes,32,Son,Single,Male,"Administrator, local government",None,Christian
12,Iron Road,Bernard,Hughes,28,Son,Single,Male,"Production assistant, television",None,Christian
13,Iron Road,Marie,Fowler,43,Head,Married,Female,Energy manager,None,Christian
13,Iron Road,Conor,Fowler,41,Husband,Married,Male,Facilities manager,None,Christian
14,Iron Road,Lynne,Robinson,37,Head,Married,Female,"Psychologist, clinical",None,No Religion
14,Iron Road,Brett,Robinson,40,Husband,Married,Male,Armed forces technical officer,None,No Religion
14,Iron Road,Guy,Robinson,10,Son,NA,Male,Student,None,No Religion
14,Iron Road,Chloe,Robinson,9,Daughter,NA,Female,Student,None,No Religion
14,Iron Road,Max,Robinson,8,Son,NA,Male,Student,None,No Religion
15,Iron Road,Thomas,Ellis,65,Head,Married,Male,Occupational psychologist,None,Christian
15,Iron Road,Danielle,Ellis,60,Wife,Married,Female,Camera operator,None,No Religion
16,Iron Road,Marie,Turner,30,Head,Divorced,Female,"Merchandiser, retail",None,Christian
17,Iron Road,Lydia,Lord,83,Head,Married,Female,Retired Public librarian,None,Sikh
17,Iron Road,Owen,Lord,80,Husband,Married,Male,Retired Careers adviser,None,Sikh
17,Iron Road,Anthony,Stevens,23,Grandson,Single,Male,Agricultural engineer,None,No Religion
17,Iron Road,Victoria,Morgan-Stevens,19,Granddaughter,Single,Female,University Student,None,Sikh
17,Iron Road,Brett,Morgan-Stevens,16,Grandson,NA,Male,Student,None,NA
18,Iron Road,Shannon,Perry,32,Head,Single,Female,Medical physicist,None,No Religion
18,Iron Road,Angela,Nicholson,52,None,Single,Female,English as a foreign language teacher,None,Christian
18,Iron Road,Connor,Lucas,34,None,Single,Male,Magazine features editor,None,No Religion
18,Iron Road,Scott,Hayward,39,None,Single,Male,Phytotherapist,None,Christian
18,Iron Road,Stuart,Evans,34,None,Single,Male,Energy engineer,None,No Religion
19,Iron Road,Colin,Taylor,36,Head,Single,Male,Prison officer,None,Christian
19,Iron Road,June,Jones,34,Partner,Single,Female,Company secretary,None,Christian
20,Iron Road,Victoria,John,46,Head,Divorced,Female,Quality manager,None,Christian
20,Iron Road,Patricia,John,12,Daughter,NA,Female,Student,None,NA
20,Iron Road,Lynne,John,7,Daughter,NA,Female,Student,None,NA
21,Iron Road,Frances,Nicholls,47,Head,Divorced,Female,"Teacher, music",None,No Religion
21,Iron Road,Laura,Nicholls,13,Daughter,NA,Female,Student,None,NA
22,Iron Road,Amber,O'Brien,26,Head,Married,Female,Manufacturing systems engineer,None,No Religion
22,Iron Road,Martyn,O'Brien,25,Husband,Married,Male,"Teacher, adult education",None,No Religion
22,Iron Road,Luke,O'Brien,8,Son,NA,Male,Student,None,No Religion
22,Iron Road,Maurice,O'Brien,5,Son,NA,Male,Student,None,No Religion
22,Iron Road,Jennifer,O'Brien,4,Daughter,NA,Female,Child,None,No Religion
23,Iron Road,Steven,Blake,25,Head,Single,Male,IT technical support officer,None,Muslim
23,Iron Road,Holly,Blake,33,None,Single,Female,"Engineer, production",None,No Religion
23,Iron Road,Marcus,Martin,55,None,Single,Male,Unemployed,None,Christian
23,Iron Road,Arthur,Williams,46,None,Single,Male,Freight forwarder,None,Christian
23,Iron Road,Alexander,Richards,36,None,Single,Male,Management consultant,None,Christian
24,Iron Road,Chloe,Stokes,47,Head,Divorced,Female,Fine artist,None,No Religion
24,Iron Road,Maureen,Stokes,21,Daughter,Single,Female,University Student,None,No Religion
24,Iron Road,Matthew,Stokes,19,Son,Single,Male,Firefighter,None,No Religion
25,Iron Road,Dawn,Ellis,44,Head,Married,Female,Control and instrumentation engineer,None,No Religion
25,Iron Road,Patrick,Ellis,45,Husband,Married,Male,Training and development officer,None,No Religion
25,Iron Road,Hannah,Ellis,16,Daughter,NA,Female,Student,None,No Religion
26,Iron Road,Yvonne,Barton,42,Head,Widowed,Female,Unemployed,None,Christian
26,Iron Road,Rosemary,Barton,12,Daughter,NA,Female,Student,None,NA
27,Iron Road,Alison,Adams,34,Head,Single,Female,Unemployed,None,Christian
27,Iron Road,Ashley,Miller,36,Partner,Single,Male,"Production assistant, radio",None,No Religion
28,Iron Road,Reece,Richardson,67,Head,Married,Male,Air broker,None,Muslim
28,Iron Road,Maureen,Richardson,68,Wife,Married,Female,Retired Equality and diversity officer,None,No Religion
29,Iron Road,Edward,Smith,45,Head,Single,Male,Farm manager,None,No Religion
29,Iron Road,Sheila,Birch,42,Partner,Single,Female,Illustrator,None,No Religion
30,Iron Road,Alan,Griffiths,62,Head,Single,Male,Company secretary,None,Christian
30,Iron Road,Bethany,Williams,60,Partner,Single,Female,"Psychologist, sport and exercise",None,Christian
31,Iron Road,Fiona,Scott,61,Head,Married,Female,Glass blower/designer,None,Christian
31,Iron Road,Ashley,Scott,68,Husband,Married,Male,Retired Company secretary,None,Christian
31,Iron Road,Ashleigh,Scott,42,Daughter,Divorced,Female,Health and safety inspector,None,Christian
32,Iron Road,Rebecca,Ryan,57,Head,Married,Female,Network engineer,None,Christian
32,Iron Road,Denis,Ryan,62,Husband,Married,Male,Unemployed,None,Christian
33,Iron Road,Christine,Dobson-Morris,47,Head,Divorced,Female,Barrister,None,Christian
33,Iron Road,Karl,Dobson-Morris,16,Son,NA,Male,Student,None,NA
33,Iron Road,Howard,Dobson-Morris,13,Son,NA,Male,Student,None,NA
33,Iron Road,Eileen,Dobson-Morris,10,Daughter,NA,Female,Student,Unknown Infection,NA
34,Iron Road,Alexandra,O'Brien,78,Head,Widowed,Female,Retired Broadcast journalist,None,Christian
35,Iron Road,Olivia,Brennan,38,Head,Divorced,Female,Unemployed,None,Christian
35,Iron Road,Elliott,Brennan,7,Son,NA,Male,Student,None,NA
36,Iron Road,Elliot,Benson,22,Head,Single,Male,University Student,None,Christian
36,Iron Road,Jenna,Lee,21,None,Single,Female,University Student,None,Christian
36,Iron Road,Derek,Harvey,18,None,Single,Male,University Student,None,Christian
37,Iron Road,Hannah,Owen,54,Head,Married,Female,"Therapist, music",None,Christian
37,Iron Road,Donna,Owen,58,Wife,Married,Female,Illustrator,None,Christian
37,Iron Road,Tracy,Owen,31,Daughter,Single,Female,Lobbyist,None,Christian
38,Iron Road,Sally,Gardner,51,Head,Divorced,Female,Unemployed,None,No Religion
39,Iron Road,Hilary,Harvey,31,Head,Married,Female,Production manager,None,No Religion
39,Iron Road,Arthur,Harvey,32,Husband,Married,Male,"Loss adjuster, chartered",None,No Religion
39,Iron Road,Allan,Harvey,15,Son,NA,Male,Student,None,No Religion
39,Iron Road,Kayleigh,Harvey,13,Daughter,NA,Female,Student,None,No Religion
40,Iron Road,Clifford,Webster,60,Head,Single,Male,Health and safety adviser,None,Christian
41,Iron Road,Trevor,Martin,97,Head,Married,Male,"Retired Lecturer, higher education",None,Christian
41,Iron Road,Olivia,Martin,95,Wife,Married,Female,Retired Special educational needs teacher,None,Christian
42,Iron Road,Chloe,Wheeler,61,Head,Single,Female,Human resources officer,None,Christian
42,Iron Road,John,Singh,41,None,Single,Male,Tour manager,None,Christian
43,Iron Road,Ashleigh,Lowe,84,Head,Widowed,Female,Retired Production engineer,None,No Religion
44,Iron Road,Tina,Reid,31,Head,Single,Female,Town planner,None,Christian
44,Iron Road,Eleanor,Reid,15,Daughter,NA,Female,Student,None,NA
45,Iron Road,Shannon,Duncan,53,Head,Single,Female,Retail manager,None,No Religion
45,Iron Road,Frank,Chandler,56,Partner,Single,Male,Actor,None,No Religion
46,Iron Road,Lesley,Jones,65,Head,Married,Female,Technical author,None,No Religion
46,Iron Road,Keith,Jones,69,Husband,Married,Male,"Retired Teacher, special educational needs",None,No Religion
47,Iron Road,Irene,Davis,64,Head,Married,Female,Architectural technologist,None,Christian
47,Iron Road,Jack,Davis,63,Husband,Married,Male,"Surveyor, land/geomatics",None,Christian
47,Iron Road,Shaun,Davis,12,Grandson,NA,Male,Student,None,NA
47,Iron Road,Kieran,Davis,12,Grandson,NA,Male,Student,None,NA
47,Iron Road,Vincent,Holmes,8,Grandson,NA,Male,Student,None,NA
48,Iron Road,Gillian,Arnold,34,Head,Married,Female,"Journalist, newspaper",None,Jewish
48,Iron Road,Donald,Arnold,35,Husband,Married,Male,Commercial art gallery manager,None,No Religion
48,Iron Road,Paula,Arnold,2,Daughter,NA,Female,Child,None,Jewish
48,Iron Road,Charlie,Wilkinson,55,Visitor,Divorced,Male,IT consultant,None,Christian
49,Iron Road,Susan,Smith,49,Head,Married,Female,"Programmer, systems",None,Christian
49,Iron Road,Charlie,Smith,51,Husband,Married,Male,"Designer, textile",None,No Religion
49,Iron Road,Jill,Smith,22,Daughter,Divorced,Female,University Student,None,Christian
49,Iron Road,Charlie,Smith,13,Son,NA,Male,Student,None,No Religion
50,Iron Road,Diane,Johnson,36,Head,Single,Female,"Psychotherapist, child",None,Christian
50,Iron Road,Peter,Long,42,Partner,Single,Male,Diplomatic Services operational officer,None,No Religion
50,Iron Road,Reece,Johnson,3,Son,NA,Male,Child,None,No Religion
50,Iron Road,Geoffrey,Bell,40,Lodger,Single,Male,Psychiatric nurse,None,No Religion
51,Iron Road,Molly,Davis,27,Head,Divorced,Female,Unemployed,None,No Religion
52,Iron Road,Stewart,Dennis,44,Head,Single,Male,"Civil engineer, consulting",None,Christian
52,Iron Road,Glenn,Skinner,39,None,Single,Male,Information systems manager,None,No Religion
53,Iron Road,Lauren,Roberts,75,Head,Widowed,Female,Retired Printmaker,None,Christian
54,Iron Road,Pamela,Bird,40,Head,Married,Female,"Surveyor, rural practice",None,Christian
54,Iron Road,Brian,Bird,41,Husband,Married,Male,English as a second language teacher,None,Christian
54,Iron Road,Owen,Bird,13,Son,NA,Male,Student,None,Christian
54,Iron Road,Reece,Bird,7,Son,NA,Male,Student,None,Christian
54,Iron Road,Elizabeth,Bird,5,Daughter,NA,Female,Student,None,Christian
1,Ali Crescent,Mohamed,Wilson-Moran,65,Head,Widowed,Male,Radio broadcast assistant,None,No Religion
1,Ali Crescent,Sam,Wilson-Moran,2,Grandson,NA,Male,Child,None,NA
2,Ali Crescent,Lynn,Bailey,52,Head,Married,Female,Field trials officer,None,Christian
2,Ali Crescent,Craig,Bailey,51,Husband,Married,Male,Advertising copywriter,None,Christian
2,Ali Crescent,Natalie,Bailey,17,Daughter,NA,Female,Student,None,NA
2,Ali Crescent,Ross,Bailey,14,Son,NA,Male,Student,None,NA
3,Ali Crescent,Carolyn,Marshall,42,Head,Single,Female,"Geologist, wellsite",None,Christian
4,Ali Crescent,Laura,King,25,Head,Married,Female,"Engineer, communications",None,Christian
4,Ali Crescent,Brett,King,29,Husband,Married,Male,Plant breeder/geneticist,None,Christian
4,Ali Crescent,Paul,King,1,Son,NA,Male,Child,None,Christian
5,Ali Crescent,Joanna,Chapman,80,Head,Married,Female,Retired Waste management officer,None,No Religion
5,Ali Crescent,Joshua,Chapman,81,Husband,Married,Male,Retired Civil Service fast streamer,None,No Religion
6,Ali Crescent,Margaret,Hamilton,83,Head,Married,Female,Retired Careers adviser,None,Christian
6,Ali Crescent,Norman,Hamilton,83,Husband,Married,Male,Retired Chief Operating Officer,None,No Religion
7,Ali Crescent,Sean,Hughes,54,Head,Single,Male,Unemployed,None,Christian
7,Ali Crescent,Ian,Evans,5,Grandson,NA,Male,Student,None,NA
8,Ali Crescent,Antony,Jones,20,Head,Single,Male,University Student,None,Christian
8,Ali Crescent,Janice,Davies,24,None,Single,Female,PhD Student,None,Christian
8,Ali Crescent,Janet,Davies,20,None,Single,Female,University Student,None,Christian
9,Ali Crescent,John,Begum,38,Head,Single,Male,Field seismologist,None,No Religion
10,Ali Crescent,Mary,Taylor,51,Head,Married,Female,Industrial/product designer,None,Christian
10,Ali Crescent,Damian,Taylor,53,Husband,Married,Male,Air traffic controller,None,Christian
10,Ali Crescent,Scott,Taylor,23,Son,Single,Male,Unemployed,None,Christian
10,Ali Crescent,Lee,Gardner-Taylor,16,Son,NA,Male,Student,None,Christian
11,Ali Crescent,Kirsty,Foster,55,Head,Divorced,Female,Regulatory affairs officer,None,Christian
11,Ali Crescent,Tom,Foster,14,Son,NA,Male,Student,None,NA
12,Ali Crescent,Carolyn,Simmons,63,Head,Married,Female,Dance movement psychotherapist,None,Christian
12,Ali Crescent,Alexander,Simmons,65,Husband,Married,Male,Facilities manager,None,No Religion
12,Ali Crescent,Scott,Simmons,28,Son,Divorced,Male,Landscape architect,None,Christian
13,Ali Crescent,Leah,Kerr,39,Head,Married,Female,Production engineer,None,Christian
13,Ali Crescent,Clive,Kerr,40,Husband,Married,Male,Rural practice surveyor,Unknown Infection,Christian
13,Ali Crescent,Philip,Kerr,6,Son,NA,Male,Student,None,Christian
14,Ali Crescent,Aimee,Fox,39,Head,Divorced,Female,Corporate investment banker,None,No Religion
14,Ali Crescent,Judith,Fox,19,Daughter,Single,Female,University Student,None,No Religion
14,Ali Crescent,Nigel,Fox,18,Son,Single,Male,Student,None,No Religion
15,Ali Crescent,Harriet,Foster,72,Head,Married,Female,"Retired Surveyor, building",None,No Religion
15,Ali Crescent,Colin,Foster,74,Husband,Married,Male,"Retired Biochemist, clinical",None,No Religion
16,Ali Crescent,Georgina,Kirby,58,Head,Married,Female,"Producer, television/film/video",None,No Religion
16,Ali Crescent,Julian,Kirby,61,Husband,Married,Male,Ergonomist,None,No Religion
16,Ali Crescent,Antony,Kirby,25,Son,Divorced,Male,"Optician, dispensing",None,No Religion
16,Ali Crescent,Lindsey,Kirby,25,Daughter,Single,Female,"Development worker, community",None,No Religion
17,Ali Crescent,Jodie,Griffin,33,Head,Married,Female,"Surveyor, hydrographic",None,No Religion
17,Ali Crescent,Elliot,Griffin,36,Husband,Married,Male,"Designer, ceramics/pottery",None,No Religion
17,Ali Crescent,Kevin,King,12,Nephew,NA,Male,Student,None,NA
18,Ali Crescent,Katy,White,85,Head,Married,Female,"Retired Solicitor, Scotland",None,Christian
18,Ali Crescent,Robin,White,85,Husband,Married,Male,"Retired Teacher, English as a foreign language",None,No Religion
19,Ali Crescent,Joel,Cox,63,Head,Divorced,Male,"Scientist, research (physical sciences)",None,Christian
19,Ali Crescent,Denis,Archer,16,Grandson,NA,Male,Student,None,NA
20,Ali Crescent,Lee,Mitchell,79,Head,Widowed,Male,Retired Corporate investment banker,None,Christian
21,Ali Crescent,Danielle,Smith,60,Head,Married,Female,Occupational psychologist,None,No Religion
21,Ali Crescent,Hugh,Smith,64,Husband,Married,Male,"Administrator, local government",None,No Religion
21,Ali Crescent,Michael,Smith,23,Son,Single,Male,Ceramics designer,None,No Religion
21,Ali Crescent,Philip,Smith,19,Son,Single,Male,University Student,None,No Religion
21,Ali Crescent,Katie,Smith,4,Daughter,NA,Female,Child,None,No Religion
22,Ali Crescent,Duncan,Harris,20,Head,Single,Male,University Student,None,No Religion
22,Ali Crescent,Jacqueline,Freeman,21,None,Single,Female,University Student,None,No Religion
23,Ali Crescent,Ian,Campbell,33,Head,Single,Male,"Designer, exhibition/display",None,Muslim
23,Ali Crescent,Leanne,Smith,19,None,Single,Female,University Student,None,No Religion
23,Ali Crescent,Joyce,Williams,27,None,Single,Female,"Administrator, sports",None,No Religion
23,Ali Crescent,Sylvia,Alexander,28,None,Single,Female,"Biochemist, clinical",None,No Religion
24,Ali Crescent,Mary,Murray,38,Head,Married,Female,Sports administrator,None,No Religion
24,Ali Crescent,Graham,Murray,40,Husband,Married,Male,Games developer,None,No Religion
24,Ali Crescent,Rachael,Murray,21,Daughter,Single,Female,University Student,None,No Religion
24,Ali Crescent,Deborah,Murray,4,Daughter,NA,Female,Child,None,No Religion
25,Ali Crescent,Leah,Hall,50,Head,Divorced,Female,"Engineer, production",None,No Religion
25,Ali Crescent,Damian,Hall,15,Son,NA,Male,Student,None,NA
26,Ali Crescent,Danielle,Jones,83,Head,Widowed,Female,"Retired Embryologist, clinical",None,Christian
27,Ali Crescent,Chloe,Browne,77,Head,Divorced,Female,Retired Furniture designer,None,Christian
28,Ali Crescent,Natalie,Howe,62,Head,Married,Female,Fast food restaurant manager,None,Christian
28,Ali Crescent,Daniel,Howe,67,Husband,Married,Male,Television production assistant,None,Christian
28,Ali Crescent,Eric,Howe,14,Grandson,NA,Male,Student,None,NA
29,Ali Crescent,Damian,Wade,26,Head,Single,Male,Energy manager,None,No Religion
29,Ali Crescent,Margaret,Mahmood,28,Partner,Single,Female,Chartered certified accountant,None,No Religion
30,Ali Crescent,Marc,Wells,44,Head,Single,Male,Chartered loss adjuster,None,Christian
30,Ali Crescent,Dylan,Walters,32,None,Single,Male,Minerals surveyor,None,Christian
31,Ali Crescent,Molly,Hartley,54,Head,Married,Female,Unemployed,None,Christian
31,Ali Crescent,Martyn,Hartley,59,Husband,Married,Male,"Accountant, chartered certified",None,No Religion
31,Ali Crescent,Suzanne,Hartley,38,Daughter,Single,Female,Operations geologist,None,Christian
32,Ali Crescent,Matthew,Jones,37,Head,Single,Male,Unemployed,None,Christian
32,Ali Crescent,Jemma,Jones,5,Daughter,NA,Female,Student,None,NA
33,Ali Crescent,Bruce,Reynolds,25,Head,Single,Male,Records manager,None,No Religion
34,Ali Crescent,Alison,Phillips,92,Head,Widowed,Female,Retired Legal executive,None,Christian
35,Ali Crescent,Francis,Lewis,18,Head,Married,Male,Student,None,
35,Ali Crescent,Douglas,Lewis,19,Husband,Married,Male,University Student,None,
